"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Josh Allen","QB","BUF","7","1","378.9","2.6","9.7","3.05","1","He is him. While technically Allen finished with his lowest fantasy points per game average since 2019, he continued his streak of being the QB1 or QB2 for the sixth consecutive season. In 2024, Allen became the first top-5 fantasy QB without a top-36 scoring WR or top-12 TE. In 2025, he did it again. Same exact thing. Yes, he is now 30 years old, and the Bills mixed things up, firing HC Sean McDermott. The offense should remain the same, with the WR corps hopefully upgraded with the addition of DJ Moore. Allen is our unquestioned QB1 and the first pick in 2QB/SuperFlex leagues. However, in 1QB leagues, we caution taking him at the end of Round 2 and would prefer to load up on RBs or WRs.","Allen is the all-time leader in fantasy points per game and career rushing TDs (79) for a QB… and we are only entering Year 9 in the NFL. Bask in his greatness and remind your league mates that Allen is him.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Lamar Jackson","QB","BAL","7","2","349.1","5.2","9.3","4.04","2","For the first three weeks of the season, it was vintage Lamar, averaging 27.6 fantasy points on the back of three passing TDs and 39 rushing yards per game. Unfortunately, a back injury altered his season and the future of the Baltimore Ravens. After returning in Week 9, he never quite looked like himself, averaging just 13.5 fantasy points, 1.2 passing TDs, and 20 rushing yards per game. With John Harbaugh out, it feels like a different era in Baltimore. Lamar’s raw pass attempts remain low yet continue to be the most valuable in fantasy: 40% were 10+ air yards (second highest in NFL) and 9% were “end-zone” attempts, the highest rate in the NFL. He remains in the annual top-5 QB conversation, but we would prefer if he slipped into the fourth or fifth round in redraft.","At 29 years old, we still are in prime territory for a run of multiple dominant fantasy seasons. He is our consensus QB5 in startups. Don’t be the idiot sandwich in your league who got too cute trading away Lamar because you thought the “value” was too good to pass up.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jayden Daniels","QB","WAS","12","3","341.7","4.3","6.2","6.04","2","After a storybook rookie season, the Washington Commanders nosedived in Year 2 of the Jayden Daniels era as he struggled with injuries (knee, hamstring, and elbow) before being shut down in Week 15 for the season. His rushing numbers remained on par with 2024, but the cast of receivers certainly let him down as 11% of his passes were dropped, the highest rate in the NFL. Daniels can be a difference-making fantasy asset due to his legs, but drafters are not giving any sort of discount this year. In other words, you will have to pay up for what he did as a rookie and the hope that he can return to top-5 status.","Jayden won Offensive Rookie of the Year in 2024 and took the league by storm. Then in 2025, he recorded just ONE top-12 fantasy finish. We still view him as a top-tier fantasy QB given his elite rushing ability, but his true ceiling is at least worth questioning in the short term, given the lack of continuity at OC and barren skill group.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Drake Maye","QB","NE","14","4","335.8","4.1","8.2","5.01","2","The signs were there in Year 1 that Maye was likely going to be a good starter in this league, but what he did in Year 2 was amazing. He was barely edged out by Matthew Stafford for league MVP, but in any other season, Maye easily could have taken home that award. He led the league in EPA per play and completion percentage while finishing inside the top-five at the position in fantasy points per drop back, which is pretty insane considering his porous offensive line and a middling pass-catching group. Add A.J. Brown to the mix and we are still bullish on the young superstar. Through 28 full games in his career, he is averaging 31 rushing yards per game, which gives him a weekly floor to finish as a top-5 QB again.","Still only 23 years old, Maye is now firmly locked in as a top-tier dynasty QB for years to come, thanks to his fantasy-friendly skill set. He sports the fourth-highest pass success rate of any QB through their 1st 2 years in the NFL behind only Mahomes, Purdy, and Marino.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jalen Hurts","QB","PHI","9","5","332.2","3.8","5.8","6.08","2","Are fantasy managers experiencing name fatigue? Hurts is coming off a season with the worst consistency metrics of his career, including averaging just 16.3 fantasy points per game from Week 9 on. We saw his fewest TDs inside the 5-yard line and now with AJ Brown leaving and yet another OC change, perhaps fantasy managers are scared off. While Hurts isn't a slouch as a passer, we love him in fantasy for his ability to use his legs. The overall Philly offense should return to form, making Hurts a relative value compared to where he was being drafted in the past.","We are not trying to bury the recent Super Bowl MVP, but if someone in your league still views him as a locked-in top-5 QB, we are willing to listen to offers. We still view Hurts as a top-10 dynasty QB, but it is fair to wonder where this thing goes over the next 2-3 years if the Tush Push gets banned.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Joe Burrow","QB","CIN","10","6","331.9","5.5","8.9","5.10","3","Through six seasons as Cincy’s signal-caller, Burrow has three elite fantasy seasons and three injury-plagued disappointments. In 2025, he went down in Week 2 and did not return until Week 13. Those final six weeks were vintage Burrow as he put together a 17-game pace of 4500+ passing yards and 43 passing TDs. It also helps that the Cincy defense has a ton of holes, forcing shootouts and more passing volume Burrow’s way. While we don’t love living and dying with TD rates from pocket passers, Burrow runs just enough to ignore that rule. They throw enough inside the red zone to justify his ADP.","With Ja’Marr Chase and Tee Higgins locked up for at least the next three years, you have to be cackling to yourself if you are a Burrow manager. He is a weekly threat to finish as QB1, and at only 29 years old, he feels so safe as a top-5 dynasty QB in startups. Now if only the Bengals could help improve his .389 winning percentage in September…","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Trevor Lawrence","QB","JAX","8","7","329.5","4.9","7.7","8.10","3","2025 was by far Lawrence’s best fantasy campaign thanks to whatever pep talk the team received during their Week 8 bye. From then on, he was the QB1 for fantasy, averaging 22.6 fantasy points per game. He joined Josh Allen as the only QBs in NFL history with 4,000+ passing yards, 29+ passing TDs, and 9+ rushing TDs in the same season. Credit goes to Liam Coen, who transformed this offense in the second half despite a WR room that dropped 8.6% of TLaw’s pass attempts, tied for the highest rate of any QB over the last four years. Lawrence is not being overdrafted based on last year’s finish, so we are still in for 1QB leagues if he is available near the double-digit rounds.","It was quite the boom year for Lawrence as his rushing production spiked with his most attempts, yards, and carries inside the 5 of his career. Only 26 years old, expect the rushing TDs to regress, but the Jags look like a legit contender in the AFC. We view Lawrence as a back-end QB1 but would prefer him as a high-end QB2 in SuperFlex leagues.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jaxson Dart","QB","NYG","14","8","328.4","5.7","8.2","7.11","3","After the Giants traded up in the first round to take Dart, he exceeded expectations as a rookie, averaging 41 rushing yards per game in his starts, the fifth best among rookie QBs ever. He tied Drake Maye for fourth-best in fantasy points per dropback last year despite attempting three total passes to Malik Nabers before he went down. Dart’s upside is enticing despite the fact that he plays with reckless abandon. His ADP is not accounting for a Year 2 leap, making him a prime candidate to roll with as a late-round QB.","There are some variables at play with a new coaching staff, offensive play-caller, and the recovery timeline for Malik Nabers. Nevertheless, Dart is a mobile QB on a young, ascending offense that seems to provide fantasy-friendly results. His playstyle might invite more risk, but in dynasty, we view him as a low-end QB1.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dak Prescott","QB","DAL","10","9","323.8","4.1","7.7","9.02","4","Another year and another opportunity for fantasy managers to disrespect the Dallas franchise QB. His ten top-10 weekly finishes tied Josh Allen and Matthew Stafford for most among QBs as he led the NFL in completions and set career highs in passing yards and attempts. He did have massive splits in Cowboys wins (24.0 ppg) and losses (12.7), the largest gap of any QB in 2025. Blessed with a historically bad defense, Cowboys games averaged 58 combined points, always giving Dak and company a chance to jump into a shootout.  We love us some Dak.","His age (almost 33) keeps his dynasty value at bay, but he is under contract for another three years. In SuperFlex leagues, he is the type of QB2 we love trying to work a deal for during the lulls of the off-season.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Caleb Williams","QB","CHI","5","10","317.8","5.8","7.8","8.07","4","Williams set the Bears’ all-time passing yardage mark (3,942), improved his pressure-to-sack ratio mightily, and had five games of 24+ fantasy points in Year 2. However, the erratic play still frustrates fantasy managers as he completed just 58% of his passes, a mark surpassing only Shedeur Sanders and J.J. McCarthy. He was more effective as a runner, including adding three scores on the ground. In Year 2 of the Ben Johnson system, perhaps there is room for Caleb to fly even higher and finish as a top-5 QB.","We are lower than the market on Caleb, putting him inside our top-10 QBs, but firmly two tiers behind the other top-end guys. The upside is tantalizing, especially entering his age-24 season with one of the best young pass-catching corps in the league. He is a hold, considering anyone trading away Caleb wants an absolute haul.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
